year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2020,ARIZONA,1716634,379,386,1637908,DEMOCRAT
2020,ARKANSAS,,399390,,793871,REPUBLICAN
2020,COLORADO,1731114,56262,18922,1429492,DEMOCRAT
2020,DELAWARE,291804,5244,7833,186054,DEMOCRAT
2020,GEORGIA,4752831,150470,74498,4888737,REPUBLICAN
2020,IDAHO,285864,,35517,538446,REPUBLICAN
2020,ILLINOIS,3278930,75673,294428,2319870,DEMOCRAT
2020,IOWA,754859,36961,43313,864997,REPUBLICAN
2020,KANSAS,571530,68263,,727962,REPUBLICAN
2020,KENTUCKY,816257,85386,99,1233315,REPUBLICAN
2020,LOUISIANA,730989,11321,61942,1267291,REPUBLICAN
2020,MAINE,347223,,63437,417645,REPUBLICAN
2020,MASSACHUSETTS,2357809,,122431,1177765,DEMOCRAT
2020,MICHIGAN,2734568,,102919,2642233,DEMOCRAT
2020,MINNESOTA,1566522,,249589,1398145,DEMOCRAT
2020,MISSISSIPPI,578691,23152,,709511,REPUBLICAN
2020,MONTANA,272463,,,333174,REPUBLICAN
2020,NEBRASKA,227191,55115,64199,583507,REPUBLICAN
2020,NEW HAMPSHIRE,450778,18421,486,326229,DEMOCRAT
2020,NEW JERSEY,2541178,,82210,1817052,DEMOCRAT
2020,NEW MEXICO,474483,24271,,418483,DEMOCRAT
2020,NORTH CAROLINA,2569965,171571,67818,2665598,REPUBLICAN
2020,OKLAHOMA,509763,34435,33023,979140,REPUBLICAN
2020,OREGON,1321047,42747,44641,912814,DEMOCRAT
2020,RHODE ISLAND,328574,,833,164855,DEMOCRAT
2020,SOUTH CAROLINA,1110828,,35139,1369137,REPUBLICAN
2020,SOUTH DAKOTA,143987,,,276232,REPUBLICAN
2020,TENNESSEE,1040691,,78144,1840926,REPUBLICAN
2020,TEXAS,4888764,209722,82571,5962983,REPUBLICAN
2020,VIRGINIA,2466500,,4388,1934199,DEMOCRAT
2020,WEST VIRGINIA,210309,21155,,547454,REPUBLICAN
2020,WYOMING,72766,,7637,198100,REPUBLICAN
2021,GEORGIA,4557708,,,4408827,DEMOCRAT
