year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
1998,NEW YORK,2386314,8223,915137,1680203,DEMOCRAT
1998,NORTH CAROLINA,1029237,36963,,945943,DEMOCRAT
1998,NORTH DAKOTA,134747,,3598,75013,DEMOCRAT
1998,OHIO,1482054,,210,1922087,REPUBLICAN
1998,OKLAHOMA,268898,,20133,570682,REPUBLICAN
1998,OREGON,682425,18221,39362,377739,DEMOCRAT
1998,PENNSYLVANIA,1028839,46103,68377,1814180,REPUBLICAN
1998,SOUTH CAROLINA,563377,16991,457,488238,DEMOCRAT
1998,SOUTH DAKOTA,162884,3796,,95431,DEMOCRAT
1998,UTAH,163172,,15085,316652,REPUBLICAN
1998,VERMONT,154567,4199,7219,48051,DEMOCRAT
1998,WASHINGTON,1103184,,,785377,DEMOCRAT
1998,WISCONSIN,890059,5591,12914,852272,DEMOCRAT
2000,ARIZONA,,70724,218156,1108196,REPUBLICAN
2000,CALIFORNIA,5932522,187718,616515,3886853,DEMOCRAT
2000,CONNECTICUT,828902,8773,25509,448077,DEMOCRAT
2000,DELAWARE,181566,1103,1433,142891,DEMOCRAT
2000,FLORIDA,2989487,,161896,2705348,DEMOCRAT
2000,GEORGIA,1413224,,1002519,,DEMOCRAT
2000,HAWAII,251215,3127,6580,84701,DEMOCRAT
2000,INDIANA,683273,33992,,1427944,REPUBLICAN
2000,MAINE,197183,,,437689,REPUBLICAN
2000,MARYLAND,1230013,,1707,715178,DEMOCRAT
2000,MASSACHUSETTS,1889494,308860,201353,334341,DEMOCRAT
2000,MICHIGAN,2061952,29966,81074,1994693,DEMOCRAT
2000,MINNESOTA,1181553,6588,183905,1047474,DEMOCRAT
2000,MISSISSIPPI,314090,8454,16659,654941,REPUBLICAN
2000,MISSOURI,1191812,10198,16724,1142852,DEMOCRAT
2000,MONTANA,194430,,9089,208082,REPUBLICAN
2000,NEBRASKA,353093,,1280,337977,DEMOCRAT
2000,NEVADA,238260,5395,26434,330687,REPUBLICAN
