year,state,DEMOCRAT_VOTES,LIBERTARIAN_VOTES,OTHER_VOTES,REPUBLICAN_VOTES,Winning_Party
2000,NORTH CAROLINA,1257692,13891,12244,1631163,REPUBLICAN
2000,NORTH DAKOTA,95284,,18120,174852,REPUBLICAN
2000,OHIO,2183628,13473,154534,2350363,REPUBLICAN
2000,OKLAHOMA,474276,6602,9014,744337,REPUBLICAN
2000,OREGON,720342,7447,92584,713577,DEMOCRAT
2000,PENNSYLVANIA,2485967,11248,133843,2281127,DEMOCRAT
2000,RHODE ISLAND,249508,742,28307,130555,DEMOCRAT
2000,SOUTH CAROLINA,566037,4760,26213,786892,REPUBLICAN
2000,SOUTH DAKOTA,118804,1662,5103,190700,REPUBLICAN
2000,TENNESSEE,981720,,32512,1061949,REPUBLICAN
2000,TEXAS,2433746,23160,151092,3799639,REPUBLICAN
2000,UTAH,203053,3616,48989,515096,REPUBLICAN
2000,VERMONT,149022,784,24727,119775,DEMOCRAT
2000,VIRGINIA,1217290,15198,69469,1437490,REPUBLICAN
2000,WASHINGTON,1247652,13135,117782,1108864,DEMOCRAT
2000,WEST VIRGINIA,295497,1912,14240,336475,REPUBLICAN
2000,WISCONSIN,1242987,6640,111701,1237279,DEMOCRAT
2000,WYOMING,60481,1443,3855,147947,REPUBLICAN
2004,ALABAMA,693933,,13088,1176394,REPUBLICAN
2004,ALASKA,111025,1675,9009,190889,REPUBLICAN
2004,ARIZONA,893524,11856,2911,1104294,REPUBLICAN
2004,ARKANSAS,469953,2352,9742,572898,REPUBLICAN
2004,CALIFORNIA,6745485,50165,115877,5509826,DEMOCRAT
2004,COLORADO,1001732,7664,18979,1101255,REPUBLICAN
2004,CONNECTICUT,857488,3367,24088,693826,DEMOCRAT
2004,DELAWARE,200152,586,2792,171660,DEMOCRAT
2004,DISTRICT OF COLUMBIA,202970,502,2858,21256,DEMOCRAT
2004,FLORIDA,3583544,11996,49748,3964522,REPUBLICAN
2004,GEORGIA,1366149,18387,3085,1914254,REPUBLICAN
2004,HAWAII,231708,1377,1737,194191,DEMOCRAT
2004,IDAHO,181098,3844,4199,409235,REPUBLICAN
2004,ILLINOIS,2891550,32442,4384,2345946,DEMOCRAT
2004,INDIANA,969011,18058,1495,1479438,REPUBLICAN
2004,IOWA,741898,2992,10061,751957,REPUBLICAN
2004,KANSAS,434993,4013,12294,736456,REPUBLICAN
2004,KENTUCKY,712733,2619,11091,1069439,REPUBLICAN
2004,LOUISIANA,820299,2781,17857,1102169,REPUBLICAN
2004,MAINE,396842,1965,11744,330201,DEMOCRAT
2004,MARYLAND,1334500,6094,18941,1024703,DEMOCRAT
2004,MASSACHUSETTS,1803800,15022,37524,1071109,DEMOCRAT
2004,MICHIGAN,2479183,10552,35771,2313746,DEMOCRAT
2004,MINNESOTA,1445014,4639,32039,1346695,DEMOCRAT
2004,MISSISSIPPI,457766,1793,7605,672660,REPUBLICAN
2004,MISSOURI,1259171,9831,6649,1455713,REPUBLICAN
2004,MONTANA,173710,1733,8928,266063,REPUBLICAN
2004,NEBRASKA,254328,2041,9003,512814,REPUBLICAN
2004,NEVADA,397190,3176,10531,418690,REPUBLICAN
2004,NEW HAMPSHIRE,340511,,6539,331237,DEMOCRAT
2004,NEW JERSEY,1911430,,30258,1670003,DEMOCRAT
2004,NEW MEXICO,370942,2382,6050,376930,REPUBLICAN
2004,NEW YORK,4180755,11607,448911,2806993,DEMOCRAT
2004,NORTH CAROLINA,1525849,11731,2261,1961166,REPUBLICAN
2004,NORTH DAKOTA,111052,851,4279,196651,REPUBLICAN
2004,OHIO,2741165,,26974,2859764,REPUBLICAN
2004,OKLAHOMA,503966,,,959792,REPUBLICAN
2004,OREGON,943163,7260,19528,866831,DEMOCRAT
2004,PENNSYLVANIA,2938095,21185,16463,2793847,DEMOCRAT
2004,RHODE ISLAND,259760,907,7421,169046,DEMOCRAT
2004,SOUTH CAROLINA,661669,3608,14449,937974,REPUBLICAN
2004,SOUTH DAKOTA,149244,964,5423,232584,REPUBLICAN
2004,TENNESSEE,1036477,,16467,1384375,REPUBLICAN
2004,TEXAS,2832704,38787,12341,4526917,REPUBLICAN
2004,UTAH,241199,3375,19528,663742,REPUBLICAN
2004,VERMONT,184067,1102,5960,121180,DEMOCRAT
2004,VIRGINIA,1454742,11032,12682,1716959,REPUBLICAN
2004,WASHINGTON,1510201,11955,32034,1304894,DEMOCRAT
2004,WEST VIRGINIA,326541,1405,4068,423778,REPUBLICAN
2004,WISCONSIN,1489504,6464,22919,1478120,DEMOCRAT
2004,WYOMING,70776,1171,4285,167629,REPUBLICAN
2008,ALABAMA,813479,,19794,1266546,REPUBLICAN
2008,ALASKA,123594,1589,7173,193841,REPUBLICAN
2008,ARIZONA,1034707,12555,16102,1230111,REPUBLICAN
2008,ARKANSAS,422310,4776,21514,638017,REPUBLICAN
2008,CALIFORNIA,8274473,67582,208064,5011781,DEMOCRAT
2008,COLORADO,1288576,10897,28299,1073589,DEMOCRAT
2008,CONNECTICUT,997772,,19592,629428,DEMOCRAT
2008,DELAWARE,255459,1109,3470,152374,DEMOCRAT
2008,DISTRICT OF COLUMBIA,245800,,2686,17367,DEMOCRAT
2008,FLORIDA,4282074,17218,45828,4045624,DEMOCRAT
2008,GEORGIA,1844123,28731,2873,2048759,REPUBLICAN
2008,HAWAII,325871,1314,8313,120566,DEMOCRAT
2008,IDAHO,236440,3658,12012,403012,REPUBLICAN
2008,ILLINOIS,3419348,19642,52202,2031179,DEMOCRAT
2008,INDIANA,1374039,29257,2110,1345648,DEMOCRAT
2008,IOWA,828940,4590,21214,682379,DEMOCRAT
2008,KANSAS,514765,6706,14746,699655,REPUBLICAN
2008,KENTUCKY,751985,5989,20184,1048462,REPUBLICAN
2008,LOUISIANA,782989,,29497,1148275,REPUBLICAN
2008,MAINE,421923,,13967,295273,DEMOCRAT
2008,MARYLAND,1629467,9842,32425,959862,DEMOCRAT
2008,MASSACHUSETTS,1904097,13189,76855,1108854,DEMOCRAT
2008,MICHIGAN,2872579,23716,56662,2048639,DEMOCRAT
2008,MINNESOTA,1573354,9174,52432,1275409,DEMOCRAT
2008,MISSISSIPPI,554662,2529,8077,724597,REPUBLICAN
2008,MISSOURI,1441911,11386,26094,1445814,REPUBLICAN
2008,MONTANA,231667,1355,14324,242763,REPUBLICAN
2008,NEBRASKA,333319,2740,12243,452979,REPUBLICAN
2008,NEVADA,533736,4263,17022,412827,DEMOCRAT
2008,NEW HAMPSHIRE,384826,2748,6862,316534,DEMOCRAT
2008,NEW JERSEY,2215422,8441,31167,1613207,DEMOCRAT
2008,NEW MEXICO,472422,2428,8476,346832,DEMOCRAT
2008,NEW YORK,4645332,19596,638768,2418323,DEMOCRAT
2008,NORTH CAROLINA,2142651,25722,14004,2128474,DEMOCRAT
2008,NORTH DAKOTA,141278,1354,5388,168601,REPUBLICAN
2008,OHIO,2940044,19917,70569,2677820,DEMOCRAT
2008,OKLAHOMA,502496,,,960165,REPUBLICAN
2008,OREGON,1037291,7635,44463,738475,DEMOCRAT
2008,PENNSYLVANIA,3276363,19912,61112,2655885,DEMOCRAT
2008,RHODE ISLAND,296571,1382,8422,165391,DEMOCRAT
2008,SOUTH CAROLINA,862449,7283,16341,1034896,REPUBLICAN
2008,SOUTH DAKOTA,170924,1835,6162,203054,REPUBLICAN
2008,TENNESSEE,1087437,,33134,1479178,REPUBLICAN
2008,TEXAS,3528633,56116,13718,4479328,REPUBLICAN
2008,UTAH,327670,6966,21704,596030,REPUBLICAN
2008,VERMONT,219262,1067,5743,98974,DEMOCRAT
2008,VIRGINIA,1959532,11067,27656,1725005,DEMOCRAT
2008,WASHINGTON,1750848,12728,44086,1229216,DEMOCRAT
