YEAR,STATE_NAME,STATE_NUMBER,REGION,DIVISION,TOTAL_POPULATION,RACE_WHITE,RACE_BLACK,RACE_OTHER,AGE_0_TO_19,AGE_20_TO_39,AGE_40_TO_59,AGE_60_TO_79,AGE_80_AND_OVER,ORIGIN_HISPANIC,ORIGIN_NOT_HISPANIC,SEX_FEMALE,SEX_MALE
2000,Alabama,1,South,East South Central,4447207,3195561,1158988,92658,1256218,1250228,1170854,624964,144943,75821,4371386,2300647,2146560
2000,Alaska,2,West,Pacific,626933,446431,22909,157593,208114,185095,180695,46700,6329,25852,601081,302821,324112
2000,Arizona,4,West,Mountain,5130247,4518143,168952,443152,1518175,1498202,1242614,711472,159784,1295616,3834631,2569382,2560865
2000,Arkansas,5,South,West South Central,2673293,2183097,420516,69680,760477,734755,686669,392228,99164,86862,2586431,1368647,1304646
2000,California,6,West,Pacific,33871653,26365296,2381132,5125225,10234576,10425088,8469482,3814015,928492,10966547,22905106,16996778,16874875
2000,Colorado,8,West,Mountain,4302086,3903965,173426,224695,1224898,1336591,1179771,456963,103863,735728,3566358,2135696,2166390
2000,Connecticut,9,Northeast,New England ,3405650,2933101,334383,138166,925728,930098,947988,464315,137521,320342,3085308,1756291,1649359
2000,Delaware,10,South,South Atlantic,783559,601024,153584,28951,218241,225155,206250,109850,24063,37281,746278,403034,380525
2000,District of Columbia,11,South,South Atlantic,572086,197177,349409,25500,135812,199540,144851,72878,19005,44954,527132,302704,269382
2000,Florida,12,South,South Atlantic,15982571,13036815,2429060,516696,4048709,4273531,4115316,2806283,738732,2682872,13299699,8184737,7797834
2000,Georgia,13,South,South Atlantic,8186653,5535237,2370827,280589,2414881,2590230,2110449,879074,192019,435227,7751426,4159444,4027209
2000,Hawaii,15,West,Pacific,1211497,313670,23334,874493,327252,350501,326763,167030,39951,87703,1123794,602846,608651
2000,Idaho,16,West,Mountain,1293957,1239176,5925,48856,413858,358341,328316,153939,39503,101690,1192267,645296,648661
2000,Illinois,17,Midwest,East North Central,12419927,9922146,1901825,595956,3605648,3659546,3191630,1552260,410843,1530320,10889607,6339284,6080643
2000,Indiana,18,Midwest,East North Central,6080827,5428653,516391,135783,1763541,1735131,1593571,790971,197613,214585,5866242,3098091,2982736
2000,Iowa,19,Midwest,West North Central,2926538,2791860,63367,71311,828003,784639,759198,421922,132776,82480,2844058,1490917,1435621
2000,Kansas,20,Midwest,West North Central,2688925,2414864,157441,116620,798534,746772,688687,349731,105201,188298,2500627,1360198,1328727
2000,Kentucky,21,South,East South Central,4042193,3667953,298866,75374,1113714,1173241,1082296,546839,126103,59936,3982257,2066664,1975529
2000,Louisiana,22,South,West South Central,4469035,2894426,1457931,116678,1368060,1269888,1143887,560025,127175,107739,4361296,2306093,2162942
2000,Maine,23,Northeast,New England ,1274779,1240091,7208,27480,335454,331388,369865,188968,49104,9356,1265423,654540,620239
2000,Maryland,24,South,South Atlantic,5296647,3493653,1499612,303382,1493011,1527464,1475091,651547,149534,227908,5068739,2738769,2557878
2000,Massachusetts,25,Northeast,New England ,6349364,5604673,406247,338444,1675153,1871709,1705855,849243,247404,428741,5920623,3290407,3058957
