STATE,YEAR,BACHELORS_DEGREE_TOT,MED_HOUSE_INC,VIOLENT_CRIME_RATE,GDP_MILLIONS,GUNS_PER_HOUSEHOLD,POPULATION,UNEMPLOYMENT_RATE
UTAH,2004,197780,25776,5647,85783.4,0.442,2401580.0,5.0
VERMONT,2004,53695,23274,713,22657.8,0.442,619920.0,3.7
VIRGINIA,2004,763865,26217,20608,332668.5,0.384,7475575.0,4.1
WASHINGTON,2004,554105,26878,21330,269983.0,0.369,6178645.0,6.3
WEST VIRGINIA,2004,91540,27983,5110,49280.5,0.556,1816438.0,5.8
NEBRASKA,2004,149235,47923,5393,70320.2,0.466,1749370.0,3.9
PENNSYLVANIA,2004,979365,60474,50998,480811.1,0.35600000000000004,12410722.0,5.4
MONTANA,2004,63695,43786,2723,27894.9,0.62,930009.0,4.5
ILLINOIS,2004,1216935,29549,69365,561037.0,0.226,12589773.0,6.2
MISSISSIPPI,2004,152605,42796,8568,77297.6,0.53,2889010.0,6.1
WYOMING,2004,29830,32023,1163,23220.1,0.607,509106.0,3.8
ALASKA,2004,45315,57075,4159,34987.9,0.58,659286.0,7.4
ARIZONA,2004,408520,57407,28952,205390.5,0.368,5652404.0,5.0
ARKANSAS,2004,152225,59087,13814,84557.0,0.544,2749686.0,5.6
CALIFORNIA,2004,3112605,57679,189175,1632428.7,0.203,35574576.0,6.2
COLORADO,2004,512180,60195,17121,204374.6,0.411,4575013.0,5.6
CONNECTICUT,2004,362930,21397,10113,198282.4,0.166,3496094.0,5.1
DELAWARE,2004,71090,21799,5105,51337.7,0.331,830803.0,4.3
DISTRICT OF COLUMBIA,2004,96815,21772,7590,80557.4,,567754.0,8.1
FLORIDA,2004,1212200,23268,123754,636087.5,0.234,17415318.0,3.8
GEORGIA,2004,820695,25159,40217,364229.0,0.43,8769252.0,5.1
HAWAII,2004,95030,26319,3213,53761.1,0.2,1273569.0,3.3
IDAHO,2004,89960,27482,3452,43865.9,0.557,1391802.0,4.9
INDIANA,2004,408105,30048,20294,236921.3,0.391,6233007.0,5.4
IOWA,2004,221495,31008,8499,116834.4,0.423,2953635.0,4.5
KANSAS,2004,224945,31794,10330,98013.9,0.428,2734373.0,5.5
KENTUCKY,2004,256210,32929,10152,134190.8,0.52,4146101.0,5.5
LOUISIANA,2004,267430,34014,28844,169836.2,0.491,4552238.0,5.7
MAINE,2004,85985,34692,1364,44525.7,0.411,1313688.0,4.7
MARYLAND,2004,582280,36413,38961,246682.0,0.236,5546935.0,4.6
MASSACHUSETTS,2004,780520,38626,29489,330936.7,0.104,6412281.0,5.1
MICHIGAN,2004,757970,41750,49737,381443.4,0.384,10055315.0,7.0
MINNESOTA,2004,511400,43611,13751,230245.2,0.406,5087713.0,4.6
MISSOURI,2004,429500,43974,28226,215413.2,0.451,5747741.0,5.9
ALABAMA,2004,288815,51395,19324,146886.7,0.516,4530729.0,5.6
ALABAMA,2008,296950,31051,21110,172677.2,0.503,4718206.0,5.8
WISCONSIN,2008,440265,37279,15507,244634.3,0.421,5640996.0,4.9
NEBRASKA,2008,146230,62447,5570,85661.3,0.34,1796378.0,3.2
NEVADA,2008,163620,67274,18973,129095.5,0.371,2653630.0,6.9
NEW HAMPSHIRE,2008,124820,71855,2054,60865.3,0.368,1315906.0,3.7
NEW JERSEY,2008,935585,20569,28351,494855.4,0.08800000000000001,8711090.0,5.4
NEW MEXICO,2008,114535,21451,12967,83691.3,0.35700000000000004,2010662.0,4.3
NEW YORK,2008,1993535,21861,77546,1101636.8,0.142,19212436.0,5.4
NORTH CAROLINA,2008,729805,22760,43125,413064.9,0.345,9309449.0,6.2
NORTH DAKOTA,2008,53740,24415,1441,31852.1,0.586,657569.0,3.1
OHIO,2008,846255,26406,40436,491609.1,0.365,11515391.0,6.6
OKLAHOMA,2008,221670,26329,19359,159761.3,0.508,3668976.0,3.6
OREGON,2008,308690,26853,9909,165050.8,0.436,3768748.0,6.2
PENNSYLVANIA,2008,1000910,27771,51044,581527.3,0.384,12612285.0,5.3
RHODE ISLAND,2008,93440,28820,2656,47078.4,0.092,1055003.0,7.6
SOUTH CAROLINA,2008,298340,30114,32746,161797.9,0.42,4528996.0,7.3
SOUTH DAKOTA,2008,57425,31979,2227,36475.6,0.51,799124.0,3.1
TENNESSEE,2008,432370,35601,44913,251549.8,0.495,6247411.0,6.5
TEXAS,2008,1797530,35840,123585,1236361.8,0.3670000000000001,24309039.0,4.9
UTAH,2008,219610,35838,6165,115885.0,0.355,2663029.0,3.3
VERMONT,2008,51830,37254,854,25667.8,0.4,624151.0,4.5
VIRGINIA,2008,792205,38317,20031,400305.5,0.3720000000000001,7833496.0,4.3
WASHINGTON,2008,576630,38162,21888,355596.6,0.38,6562231.0,5.2
MONTANA,2008,68490,61543,3013,36814.5,0.69,976415.0,4.7
MISSOURI,2008,443525,61437,29701,251691.6,0.487,5923916.0,6.2
MISSISSIPPI,2008,155485,58005,8942,96921.1,0.4970000000000001,2947806.0,6.7
MINNESOTA,2008,519390,54310,13853,264866.4,0.386,5247018.0,5.4
ALASKA,2008,49345,31697,4475,54759.0,0.613,687455.0,6.5
ARIZONA,2008,438555,31899,31567,259262.6,0.382,6280362.0,5.8
ARKANSAS,2008,156110,33028,14649,99014.4,0.508,2874554.0,5.4
CALIFORNIA,2008,3166850,35410,185329,1990187.9,0.175,36604337.0,7.3
COLORADO,2008,524215,35798,17480,255830.2,0.402,4889730.0,4.9
CONNECTICUT,2008,364875,37394,10737,240576.2,0.192,3545579.0,5.6
DELAWARE,2008,68075,39989,6187,54777.6,0.263,883874.0,5.0
DISTRICT OF COLUMBIA,2008,111030,40744,8509,99532.3,,580236.0,6.8
FLORIDA,2008,1259505,42114,126256,750972.8,0.303,18527305.0,5.7
GEORGIA,2008,825555,41966,47353,411851.7,0.395,9504843.0,6.8
WEST VIRGINIA,2008,92980,36515,5006,61994.1,0.575,1840310.0,4.7
HAWAII,2008,105510,42788,3510,66857.7,0.099,1332213.0,4.0
ILLINOIS,2008,1246880,47176,67780,648732.0,0.205,12747038.0,6.5
INDIANA,2008,442580,48222,21525,273140.1,0.374,6424806.0,5.9
IOWA,2008,227350,48944,8651,137116.2,0.396,3016734.0,4.1
KANSAS,2008,237395,50461,11554,127824.5,0.421,2808076.0,4.6
KENTUCKY,2008,268370,50216,12690,158209.2,0.499,4289878.0,6.5
LOUISIANA,2008,253510,49781,29613,215289.0,0.4920000000000001,4435586.0,4.7
MAINE,2008,86560,50636,1572,49978.5,0.462,1330509.0,5.3
MARYLAND,2008,592420,47680,35393,296325.5,0.235,5684965.0,4.5
MASSACHUSETTS,2008,784970,49966,30137,388099.9,0.096,6468967.0,5.3
MICHIGAN,2008,739240,53843,51512,385990.3,0.315,9946889.0,8.2
IDAHO,2008,98870,44649,3680,55584.4,0.5429999999999999,1534320.0,5.0
WYOMING,2008,31825,40238,1330,42550.2,0.64,546043.0,2.9
WEST VIRGINIA,2012,101830,60389,5943,69335.6,0.5710000000000001,1856872.0,7.2
ALABAMA,2012,321275,47091,21693,186553.9,0.5429999999999999,4815588.0,8.2
NEBRASKA,2012,162440,34524,4802,102605.3,0.416,1853303.0,3.9
NEVADA,2012,172600,34899,16763,127789.1,0.377,2743996.0,11.6
NEW HAMPSHIRE,2012,120500,37517,2841,67635.7,0.394,1324232.0,5.4
NEW JERSEY,2012,979215,39015,25727,519569.0,0.07,8844942.0,9.4
NEW MEXICO,2012,125180,37758,11660,87644.8,0.403,2087309.0,7.0
NEW YORK,2012,2099705,42176,79535,1323400.8,0.154,19572932.0,8.6
NORTH CAROLINA,2012,786980,43499,34464,439539.7,0.379,9749476.0,9.5
NORTH DAKOTA,2012,62915,42498,1723,51624.6,0.561,701176.0,2.9
OHIO,2012,861400,42933,34827,540882.4,0.362,11548923.0,7.4
OKLAHOMA,2012,249510,44106,18102,173238.8,0.563,3818814.0,5.1
OREGON,2012,340800,46300,9638,174427.6,0.476,3899001.0,8.8
PENNSYLVANIA,2012,1082555,48477,45384,640663.1,0.38,12767118.0,7.7
RHODE ISLAND,2012,93115,48437,2657,51607.4,0.109,1054621.0,10.2
SOUTH CAROLINA,2012,327530,51402,26474,175328.5,0.459,4717354.0,9.0
SOUTH DAKOTA,2012,61270,48172,2701,43550.7,0.568,833566.0,4.1
TENNESSEE,2012,475830,48314,41213,283482.0,0.478,6453898.0,8.0
TEXAS,2012,2023055,49910,106475,1410447.8,0.426,26084481.0,6.7
UTAH,2012,251525,51904,5939,128764.2,0.423,2853375.0,4.8
VERMONT,2012,55360,55156,891,28893.6,0.482,626090.0,4.8
VIRGINIA,2012,887285,53952,15676,445120.7,0.397,8185080.0,5.9
WASHINGTON,2012,618790,55173,20553,400623.3,0.339,6897058.0,7.7
MONTANA,2012,76565,32066,2803,42041.6,0.6579999999999999,1003783.0,5.8
MISSOURI,2012,473755,30995,27189,268861.9,0.511,6024367.0,7.2
MISSISSIPPI,2012,168990,29882,7769,99616.3,0.568,2983816.0,8.8
MINNESOTA,2012,546610,30367,12419,296272.5,0.382,5376643.0,5.6
ALASKA,2012,55615,50236,4412,57717.5,0.607,730443.0,7.2
ARIZONA,2012,469010,51727,28077,268068.2,0.415,6554978.0,8.3
ARKANSAS,2012,177475,49098,13851,107718.8,0.544,2952164.0,7.3
CALIFORNIA,2012,3441800,50602,160944,2144089.6,0.214,37948800.0,10.5
COLORADO,2012,569570,51526,15951,273593.9,0.414,5192647.0,8.0
CONNECTICUT,2012,367495,51775,10183,244114.4,0.183,3594547.0,8.4
DELAWARE,2012,73590,48999,5048,61866.7,0.308,915179.0,7.1
DISTRICT OF COLUMBIA,2012,143880,56307,7866,112610.0,,634924.0,9.0
FLORIDA,2012,1345635,58875,94087,768722.9,0.309,19297822.0,8.6
GEORGIA,2012,833060,60834,37675,443566.1,0.401,9901430.0,9.0
WISCONSIN,2012,458470,60979,16254,274540.5,0.44,5719960.0,6.9
HAWAII,2012,114040,59135,3378,73676.7,0.12,1394804.0,5.9
ILLINOIS,2012,1297660,64610,53556,720881.5,0.266,12882510.0,9.0
INDIANA,2012,458180,69165,22544,297816.1,0.4320000000000001,6537703.0,8.2
IOWA,2012,245275,74413,8167,157838.6,0.409,3076190.0,5.1
