YEAR,STATE_NAME,STATE_NUMBER,REGION,DIVISION,TOTAL_POPULATION,RACE_WHITE,RACE_BLACK,RACE_OTHER,AGE_0_TO_19,AGE_20_TO_39,AGE_40_TO_59,AGE_60_TO_79,AGE_80_AND_OVER,ORIGIN_HISPANIC,ORIGIN_NOT_HISPANIC,SEX_FEMALE,SEX_MALE
2000,Virginia,51,South,South Atlantic,7079057,5277314,1410793,390950,1937329,2128547,1947657,871828,193696,329573,6749484,3606938,3472119
2000,Washington,53,West,Pacific,5894281,5081885,199176,613220,1683044,1715282,1622670,691009,182276,441511,5452770,2959899,2934382
2000,West Virginia,54,South,South Atlantic,1808193,1723037,57790,27366,454695,478982,511768,293125,69623,12273,1795920,929097,879096
2000,Wisconsin,55,Midwest,East North Central,5363757,4864671,309136,189950,1532087,1498712,1425316,707066,200576,192922,5170835,2714663,2649094
2000,Wyoming,56,West,Mountain,493786,469425,3942,20419,145343,129784,141308,62810,14541,31670,462116,245401,248385
2001,Alabama,1,South,East South Central,4467634,3201387,1167403,98844,1249631,1238560,1201790,630834,146819,85722,4381912,2309496,2158138
2001,Alaska,2,West,Pacific,633714,448602,23269,161843,207943,182739,186923,49244,6865,27989,605725,305579,328135
2001,Arizona,4,West,Mountain,5273477,4629736,177795,465946,1546638,1526621,1304003,728864,167351,1366916,3906561,2641676,2631801
2001,Arkansas,5,South,West South Central,2691571,2193483,423863,74225,756879,734051,705566,395063,100012,96526,2595045,1376845,1314726
2001,California,6,West,Pacific,34479458,26685881,2401620,5391957,10313880,10521825,8804243,3871171,968339,11383962,23095496,17294223,17185235
2001,Colorado,8,West,Mountain,4425687,4003807,179725,242155,1256827,1357228,1234321,468776,108535,783269,3642418,2195705,2229982
2001,Connecticut,9,Northeast,New England ,3432835,2943314,341092,148429,934730,911767,980206,464300,141832,338119,3094716,1768959,1663876
2001,Delaware,10,South,South Atlantic,795699,605604,158232,31863,219794,224487,214501,111767,25150,40908,754791,409349,386350
2001,District of Columbia,11,South,South Atlantic,574504,202592,344975,26937,135330,200137,147623,72291,19123,46817,527687,303740,270764
2001,Florida,12,South,South Atlantic,16356966,13288274,2508333,560359,4121474,4318213,4317285,2841167,758827,2861659,13495307,8372776,7984190
2001,Georgia,13,South,South Atlantic,8377038,5626978,2439572,310488,2460269,2614960,2202920,901769,197120,484128,7892910,4256162,4120876
2001,Hawaii,15,West,Pacific,1225948,317697,24966,883285,326708,350579,337072,169293,42296,91446,1134502,609189,616759
2001,Idaho,16,West,Mountain,1319962,1261313,6582,52067,418950,360952,341255,157811,40994,109067,1210895,658043,661919
2001,Illinois,17,Midwest,East North Central,12488445,9950330,1905312,632803,3603190,3629092,3283650,1552995,419518,1601533,10886912,6370443,6118002
2001,Indiana,18,Midwest,East North Central,6127760,5454064,526774,146922,1767384,1722195,1639897,795523,202761,234469,5893291,3120158,3007602
2001,Iowa,19,Midwest,West North Central,2931997,2790973,65541,75483,824756,771922,779084,421046,135189,90470,2841527,1492287,1439710
2001,Kansas,20,Midwest,West North Central,2702162,2420268,158492,123402,798625,737027,710115,349365,107030,200720,2501442,1365966,1336196
2001,Kentucky,21,South,East South Central,4068132,3682706,304025,81401,1109841,1165973,1112141,552031,128146,67160,4000972,2076871,1991261
2001,Louisiana,22,South,West South Central,4477875,2891300,1464218,122357,1349122,1259944,1175286,564111,129412,116210,4361665,2308063,2169812
2001,Maine,23,Northeast,New England ,1285692,1248311,8189,29192,335588,325404,383402,190765,50533,10490,1275202,659657,626035
2001,Maryland,24,South,South Atlantic,5374691,3514540,1533621,326530,1506076,1521365,1529252,661591,156407,251351,5123340,2779864,2594827
2001,Massachusetts,25,Northeast,New England ,6397634,5613591,419956,364087,1683014,1854328,1760571,847293,252428,455161,5942473,3312567,3085067
2001,Michigan,26,Midwest,East North Central,9991120,8158479,1436646,395995,2880673,2760363,2737559,1286175,326350,343617,9647503,5089289,4901831
2001,Minnesota,27,Midwest,West North Central,4982796,4509697,192058,281041,1443735,1399766,1355513,603462,180320,158050,4824746,2514149,2468647
2001,Mississippi,28,South,East South Central,2852994,1762488,1040145,50361,863810,801145,728038,370936,89065,44168,2808826,1473486,1379508
2001,Missouri,29,Midwest,West North Central,5641142,4829908,643919,167315,1593065,1541276,1513809,784570,208422,128844,5512298,2895476,2745666
2001,Montana,30,West,Mountain,906961,826639,3154,77168,256430,223941,264636,127430,34524,19546,887415,454683,452278
2001,Nebraska,31,Midwest,West North Central,1719836,1588686,71746,59404,504986,466869,450611,227593,69777,103215,1616621,871208,848628
